,ID,Amount,Principal overdue,Interest overdue,Loan_type
0,78307,89924218,509,916,6
1,50203,66209244,365,557,6
2,81336,82883175,754,671,2
3,52431,1689100,11,70,1
4,87986,12099800,445,419,1
5,92069,7513957,208,271,1
6,53451,59220531,146,589,6
7,31105,44212596,693,182,5
8,60776,69482006,211,856,1
9,49419,19304700,489,265,2
10,89697,85310360,519,374,6
11,50703,54518628,965,647,2
12,68457,63682448,43,169,2
13,25412,23414559,777,380,2
14,75085,22416014,203,744,5
15,64908,69341685,720,557,5
16,62473,8296113,685,160,6
17,67062,47267544,790,955,4
18,90128,41452886,190,937,5
19,42979,56890271,867,200,6
20,99197,57776244,221,855,1
21,89918,60202791,524,871,1
22,43020,93477119,425,720,2
23,26123,71381182,470,690,6
24,54356,23614174,767,550,1
25,12465,59103241,856,598,3
26,96339,43406328,379,970,5
27,22270,33996935,824,901,4
28,57381,64969797,198,983,1
29,44084,18427963,877,975,1
30,55350,24226536,757,800,6
31,63718,42477384,440,890,4
32,55676,46262306,601,88,1
33,85559,23893862,180,102,4
34,39633,46277885,855,354,4
35,99008,3768304,652,462,2
36,37370,52520878,395,232,2
37,62913,59347288,494,726,2
38,33731,72363484,654,774,4
39,12184,16103785,367,46,6
40,56958,78903819,758,520,4
41,60607,90833869,284,602,2
42,52795,50156140,918,181,2
43,90564,57304105,463,757,5
44,83954,36088061,647,514,2
45,28254,86013252,351,298,2
46,24403,51944517,271,770,6
47,50740,49134112,483,843,6
48,34960,48112338,327,719,6
49,58506,62208876,582,919,1
50,54363,47413113,856,692,4
51,72388,88969227,960,290,4
52,34940,75328422,683,556,1
53,66519,90903559,506,669,1
54,23672,75835386,337,563,3
55,61448,7989171,980,337,6
56,76534,11505772,856,264,6
57,50388,1425509,52,657,2
58,53364,41672617,188,458,1
59,46600,14134945,996,188,5
60,24324,42854696,723,985,2
61,20566,25281424,756,761,5
62,67026,45614257,731,124,1
63,45030,53992088,854,631,6
64,52771,42040740,601,912,2
65,24736,8588071,883,731,4
66,47212,6528267,312,821,4
67,43238,39533004,546,132,1
68,27780,69957627,853,140,3
69,62644,94014950,642,29,3
70,78244,3639524,382,119,1
71,41445,99807004,75,725,1
72,81862,93723097,279,719,5
73,76657,31509944,856,127,1
