,ID,Amount,Principal overdue,Interest overdue,Loan_type
0,69797,52360611,866,819,1
1,92681,73133985,571,898,3
2,52880,39434591,461,20,6
3,78425,64578303,9,954,4
4,81602,30041159,498,531,1
5,88064,52172860,202,163,6
6,11011,42146852,228,521,4
7,11496,5612665,82,664,1
8,30621,64261115,65,99,6
9,45920,87566858,611,724,2
10,80929,4798417,93,575,3
11,91100,33973867,97,492,5
12,28320,88640001,964,130,3
13,75483,52959301,109,267,2
14,27066,32860131,172,363,2
15,38844,94901708,332,860,4
16,65486,18139437,57,815,4
17,86445,97882386,693,22,2
18,47750,2710522,476,530,3
19,72716,84324348,864,985,2
20,44563,41405005,111,419,1
21,92942,88242227,660,385,3
22,59548,43437193,611,343,6
23,87100,75662793,622,200,2
24,96694,68290225,114,218,2
25,79803,6157194,59,16,3
26,39054,52552257,637,507,2
27,54517,48274149,162,591,2
28,82883,74245917,654,679,2
29,55515,35919280,245,983,5
30,59179,71133575,751,750,6
31,84905,6354806,882,346,5
32,88095,22679563,559,665,5
33,39044,68223515,878,206,5
34,77547,67663332,354,986,5
35,58535,57715316,67,333,2
36,25957,5642379,739,647,4
37,50390,8916902,365,364,4
38,69932,37196111,237,292,4
39,78115,94578534,646,531,5
40,10744,99761277,261,125,2
41,32015,36062876,662,555,4
42,89163,2707414,38,500,1
43,10332,17708805,782,786,3
44,90442,13349425,704,531,4
45,82351,75017912,135,244,3
46,28161,18308139,509,114,5
47,43807,8434852,898,680,5
48,96073,8254063,91,631,6
49,69398,32941821,7,129,3
50,36311,59660118,565,959,4
51,17267,67449045,701,670,5
52,42426,61676777,410,705,6
53,84896,68781679,770,369,1
54,75207,69718494,652,770,4
55,62265,98109256,251,996,4
56,95665,38222345,664,902,4
57,71783,76203605,284,83,3
58,78467,31406762,733,246,3
59,76705,50477511,425,26,1
60,40354,95679080,839,874,5
61,60044,9011221,844,52,4
62,22829,42073491,878,414,2
63,43575,83513542,635,927,5
64,83364,69524112,737,428,1
65,29815,48816123,1000,285,4
66,77640,92895205,772,132,2
67,75534,84664354,689,6,4
68,59052,21197840,909,360,3
69,78682,98243515,653,732,1
70,70804,74615681,259,345,4
71,18358,36232205,129,735,6
72,99504,57540841,493,854,5
73,51110,72606380,81,865,2
74,54716,19587570,605,4,3
75,11232,30002215,227,455,4
76,95843,54538684,865,599,1
77,92653,22784003,480,746,1
