,ID,Amount,Principal overdue,Interest overdue,Loan_type
0,21184,56258678,661,691,4
1,79943,95978544,509,573,6
2,61760,38744721,423,883,4
3,41362,87676762,441,465,5
4,98002,82684196,901,341,1
5,84403,59601929,214,924,2
6,62396,84271810,924,903,3
7,68086,92890277,692,768,2
8,34531,9868202,869,507,6
9,14940,54874356,38,805,4
10,22279,56234335,486,764,5
11,14634,79562573,54,453,6
12,82136,91089428,422,248,5
13,85174,61702920,251,558,6
14,20163,9661669,336,745,3
15,47268,95398925,260,993,4
16,31736,33855608,379,109,5
17,74773,74479986,937,160,3
18,15251,43118073,527,996,5
19,89360,44596160,683,931,3
20,32075,83027546,392,929,6
21,31815,7617572,337,865,6
22,88030,75290331,999,145,6
23,23972,41994042,115,375,2
24,72188,62727421,35,767,4
25,45854,91949875,462,741,2
26,96915,69267256,404,411,3
27,83856,64279695,141,526,4
28,10337,83769399,729,839,5
29,84490,16456147,853,79,2
30,50404,9208128,635,339,2
31,21526,15197285,875,355,6
32,33381,2717700,965,792,4
33,99914,56413331,305,86,1
34,48866,29163434,771,233,3
35,25389,74873771,178,978,3
36,29137,38714995,874,690,1
37,21662,91707038,100,971,6
38,81673,24901888,434,685,2
39,11661,98851399,571,947,4
40,39641,49008731,534,19,2
41,30943,29780466,336,51,4
42,48927,34807162,573,823,4
43,91840,11881327,275,400,5
44,93384,82562861,944,655,6
45,74512,91710139,664,48,6
46,67171,27952631,566,325,1
47,37035,56490503,249,485,1
48,65832,22168926,961,634,1
49,95097,55907270,336,214,3
50,75043,22436747,906,225,1
51,76692,25295634,103,619,6
52,86359,13900590,109,541,3
53,85264,66413135,674,345,4
54,36840,20904127,110,202,2
55,85675,95238868,68,778,2
56,54629,81836385,110,262,4
57,91825,28232885,108,759,5
58,13092,46171183,883,115,6
59,10461,37136411,982,447,6
60,95725,18552366,828,929,3
61,19118,72616120,106,663,6
62,31791,21020348,841,162,3
63,24901,89511101,494,993,1
64,75169,45579919,147,361,3
65,70688,3187946,173,294,6
66,34544,4577942,230,983,5
67,84208,6044794,365,545,3
68,99138,52596560,872,699,5
69,36994,11416033,112,248,1
70,73665,51670562,909,810,1
71,94767,1370696,301,56,1
72,93791,58701447,972,114,6
73,61353,76380909,715,645,6
74,32295,96504738,195,250,4
75,65582,7758648,857,191,5
76,99280,28410635,881,455,3
77,63283,49982853,893,699,6
78,61636,90125537,29,349,6
79,99727,15480956,631,724,1
