,ID,Amount,Principal overdue,Interest overdue,Loan_type
0,68918,92927374,909,72,6
1,23793,27762393,82,906,5
2,12527,95863248,400,987,2
3,98085,2681508,284,520,3
4,67188,49064225,133,958,5
5,83992,91277153,135,795,5
6,21574,98445152,25,914,2
7,52968,28631570,76,59,3
8,48197,47501225,264,44,3
9,53512,80677526,37,960,3
10,27443,22296948,622,636,1
11,22184,50191484,562,314,4
12,96674,97424230,110,719,4
13,30369,67776473,559,903,4
14,21254,1669283,626,773,6
15,47587,92177320,29,907,1
16,35192,64961658,468,443,5
17,65538,78821426,895,492,1
18,48142,51655459,143,309,5
19,89445,29815407,304,525,5
20,24706,67301436,384,375,1
21,76101,85275127,706,61,2
22,77803,40665180,589,746,6
23,41117,76733923,436,797,2
24,94091,57244547,892,5,1
25,63203,56883839,272,343,6
26,79563,53636402,76,420,1
27,50209,22622679,421,375,6
28,87672,31967860,553,767,6
29,85136,14522498,209,794,5
30,83592,86030573,193,385,6
31,40038,85151772,246,710,1
32,76327,10523696,249,337,5
33,60432,22724987,928,541,6
34,80433,89290592,103,225,2
35,12424,19090405,689,493,6
36,16460,63092330,695,264,4
37,17937,26527650,547,199,3
38,23341,52664450,495,377,5
39,35573,16792179,76,88,3
40,79698,77119425,556,632,2
41,74011,43163190,212,523,1
42,46093,59657966,859,265,1
43,17408,51823574,231,873,4
44,30848,52313635,888,516,6
45,98645,24595906,364,884,5
46,22052,62151624,787,998,1
47,55017,9581712,720,696,1
48,91768,73211990,998,923,6
49,47450,70594242,183,858,2
50,17207,14561154,482,27,2
51,34014,37978785,891,251,5
52,97308,53806754,124,74,6
53,54445,13937510,976,817,4
54,97942,14347131,934,323,4
55,48033,19553642,2,770,6
56,67194,97384560,761,61,5
57,70548,40585007,749,664,6
58,67400,65008332,122,876,3
59,87448,92525973,860,101,1
60,65775,59746349,384,666,1
61,39780,95478902,475,542,4
62,62244,86888013,33,685,3
63,83829,48992644,531,204,3
64,84388,35094423,580,778,6
65,60698,69865554,874,20,1
66,79690,66299172,470,747,5
67,51986,55807871,279,517,1
68,48131,67489152,347,354,5
69,16197,2920964,867,877,4
70,63021,18899840,363,157,2
71,30005,96159293,541,970,5
72,72908,82938970,60,596,1
73,68012,92872032,500,307,1
74,87147,62159620,90,21,6
75,22300,15029077,583,581,4
76,68572,26026717,492,920,6
77,25478,47243900,900,251,5
78,46575,18903256,466,636,2
79,18482,33582652,682,968,5
80,99688,5442149,660,31,5
81,11472,11161182,570,291,4
82,47679,88660616,59,817,1
83,98007,30881052,386,955,6
84,90664,8378368,414,569,3
85,50954,9404610,277,424,2
86,18540,19583810,315,87,1
87,49721,34130908,409,504,6
88,71274,85038518,499,680,4
89,81278,54812668,778,978,6
90,78898,34748608,592,149,4
91,22219,66612705,316,637,3
92,92070,82148201,549,544,5
93,31760,94305021,685,902,3
94,93736,95562507,55,648,2
95,21404,51295183,256,240,3
96,72025,88453234,709,188,5
97,63408,97558142,588,244,1
98,21220,84762731,896,6,3
99,44749,9108051,921,827,3
100,72807,40881073,399,731,2
101,16231,48973486,526,403,5
102,84253,96825368,11,225,4
103,43331,98902617,138,729,5
104,21454,10956113,980,238,3
105,36193,83537475,445,889,4
106,46594,59696275,942,250,1
107,43237,99407993,198,11,6
108,54142,48697122,425,268,1
109,36572,52407684,699,843,3
110,99847,67433449,144,25,4
111,55679,97402501,291,163,6
112,88913,96845600,669,138,6
113,68605,44407928,152,775,3
114,18022,35039395,100,415,1
115,43976,67129317,588,59,6
116,75776,34094653,220,327,3
117,44801,74695784,62,402,3
118,29838,92902939,342,956,1
119,71153,90152963,211,612,6
120,66553,46743403,700,207,3
121,51393,56387539,220,140,1
122,78843,23583832,849,907,5
123,72869,94004941,225,725,1
124,25987,49255763,33,217,3
125,57193,15706673,561,195,3
126,46711,60168076,848,529,6
127,69910,42837502,325,802,1
128,77912,86106526,44,173,5
129,39150,23420030,792,286,5
130,77132,10044992,702,29,5
131,90125,12756798,276,912,3
132,80871,11706201,612,390,1
133,35621,17180110,4,733,6
134,93754,37712350,57,660,6
135,10459,14044055,615,338,4
136,57763,32116625,487,346,4
137,10321,29576216,659,137,1
138,65813,83126569,102,958,5
139,31444,39198306,111,244,1
140,53955,26051756,567,687,4
141,29818,42148300,596,28,6
142,81993,1347950,227,960,3
143,50783,53403291,77,845,3
144,75093,29101861,387,67,3
145,89666,5095648,253,767,6
146,77158,27062634,303,900,1
147,96885,17807051,740,102,1
148,82886,92097496,722,848,5
149,10310,11379087,805,444,6
150,80743,40108823,391,576,1
151,68201,98291416,220,437,6
152,80539,68537128,786,833,1
153,70893,54653894,532,795,2
154,40677,70292381,777,903,5
155,39178,59135917,425,851,6
156,26849,39351805,559,269,2
157,94783,86541889,254,277,1
158,37858,87007356,717,620,6
159,28239,98422655,268,177,2
160,97317,80529496,447,922,4
161,68868,52832336,826,32,6
162,18692,21016808,979,368,2
163,52624,89644705,118,552,2
164,23707,56721982,992,363,1
165,92067,9876421,345,569,1
166,47275,52040105,96,586,4
167,58193,10182681,878,131,4
168,74590,58015668,106,434,4
169,21528,68308613,124,302,5
170,84815,24398453,662,344,2
171,17375,45495224,491,818,3
172,73442,94233101,80,695,5
173,15886,83063129,197,717,2
174,72367,73294117,445,433,6
175,70192,30232704,58,795,1
176,25452,26500961,779,319,1
177,55380,94825633,678,922,4
178,82421,57584671,49,573,6
179,71754,84928828,356,425,4
180,19055,66542085,110,994,5
181,45134,71427257,724,527,1
182,90538,61936193,182,807,4
183,40599,5238657,599,465,4
184,80827,37397506,838,464,6
185,57797,74329288,412,357,1
186,43314,34821243,596,495,1
187,48946,23068848,730,808,2
188,47275,8251444,653,481,4
189,61626,56915243,124,438,2
190,86598,38278969,484,428,1
191,63406,26494435,374,677,5
192,35916,3105802,493,75,4
193,29347,73943788,423,38,1
194,82132,12903636,603,143,1
195,41429,53585823,851,872,3
196,20648,46994844,776,6,1
197,58754,39013139,102,132,4
198,22597,27702675,420,202,2
199,79466,97176062,620,171,5
200,48340,6223126,178,687,2
201,25575,88660704,496,105,5
202,22243,12456117,842,458,1
203,73841,84578355,505,240,5
204,29650,80449049,71,902,5
205,12162,91465022,712,482,2
206,93984,98215046,163,554,6
207,18393,49162429,67,13,1
208,40305,89283895,334,526,2
209,28290,23203352,455,756,2
210,64037,23483819,61,864,6
211,61204,60676752,120,141,1
212,82106,24496181,644,314,4
213,42546,15757944,751,519,4
214,41871,48484273,934,997,6
215,53168,72918863,386,378,3
216,20084,84346250,418,51,6
217,87416,18677655,127,701,1
218,81797,11609390,570,791,4
219,11717,20398206,104,394,3
220,89806,27577268,667,810,6
221,54745,46479992,460,810,2
222,37717,90408952,826,733,6
223,32452,92031381,156,163,4
224,96023,69545338,858,903,2
225,87066,59471085,617,667,1
226,49918,86525702,211,939,1
227,61875,89475723,456,383,1
228,68606,82051465,925,950,6
229,26754,24265831,450,917,6
230,23891,9364404,861,899,3
231,91859,89213918,812,121,2
232,35126,90715867,530,634,2
233,74713,5610149,705,556,2
234,76080,35339548,764,584,1
235,90956,39085269,10,232,5
236,93464,76165249,207,58,3
237,45113,20178245,729,601,5
238,44027,67757599,231,433,1
239,69437,24476310,381,113,4
240,46566,34917654,231,706,1
241,58881,55310344,503,669,3
242,11454,33969559,504,282,3
243,33165,81448359,854,868,6
244,54665,57200439,614,361,5
245,17100,55905109,616,833,3
246,87461,78469289,759,590,5
247,83557,17930931,273,424,6
248,22479,55089976,879,269,2
249,79515,22583653,497,435,2
250,39312,66248378,378,320,2
251,29800,31893593,114,5,1
252,70464,25631966,498,177,5
253,80594,69984432,792,551,3
254,63020,61256759,362,547,4
255,84886,32128693,862,691,3
256,31378,97795107,329,455,6
257,58479,31569726,411,921,1
258,83212,37775114,0,0,6
259,86902,4798839,105,410,5
260,15694,16771839,516,911,2
261,94632,29845950,27,434,1
262,20913,94265783,501,440,1
263,85293,10532372,948,862,6
264,21879,32447233,254,944,5
265,69095,3411386,525,718,5
266,48398,34878931,403,429,1
267,55669,51445266,20,433,4
268,41281,55628992,631,3,1
269,82783,8009894,765,107,6
270,26165,26370591,581,569,1
271,17751,84700647,78,137,1
272,82571,55522566,612,863,5
273,86323,77800112,651,982,2
274,61348,18374459,846,577,2
275,74118,6815855,634,451,5
276,46231,68317370,549,333,2
277,14006,92075198,436,257,3
278,97349,50214384,604,399,6
279,34825,51672760,375,779,3
280,53914,87614524,778,797,6
281,12811,64388505,82,758,4
282,96532,65819409,217,969,6
283,76665,48561551,535,359,2
284,38829,57577321,801,597,4
285,78506,43982447,66,809,6
286,46561,71060663,823,629,5
287,15571,21550155,912,365,3
288,64740,71381600,94,128,1
289,86381,46377297,141,541,3
290,80735,4186551,855,366,2
291,21110,25752527,561,486,4
292,38065,51836666,43,410,5
293,76670,95535546,264,210,3
294,68004,57874995,999,858,2
295,36829,72920769,33,771,6
296,18845,10243670,246,351,2
297,91253,19357888,855,135,4
298,25143,90199783,986,47,2
299,57425,3602154,861,266,2
300,42069,25005141,923,857,5
301,60860,71583701,603,746,3
302,21434,21704185,585,143,6
303,33022,11508562,302,618,5
304,65374,11595329,703,831,4
305,29199,92855698,238,642,6
306,51082,11906947,939,822,2
307,80270,16554857,630,511,3
308,43519,77094348,431,591,6
309,57226,49121025,602,371,1
310,12574,89052348,775,561,4
311,46397,5963753,3,223,2
312,57690,21743844,464,663,6
313,15066,84978669,75,22,2
314,60611,25609362,349,374,4
315,34370,74623182,865,83,3
316,68471,12699153,507,508,5
317,97558,3369803,219,623,1
318,49505,88656464,826,171,3
319,13775,49371105,801,7,4
320,52283,78380790,199,859,3
321,39987,9654653,595,657,6
322,72224,16225306,547,356,6
323,65418,68881833,296,123,1
324,82346,56570326,343,813,4
325,58763,30825515,243,164,2
326,34623,34278094,888,618,5
327,52878,52701743,112,63,6
328,22535,62142932,259,254,2
329,72744,51690504,175,581,5
330,77263,6981325,858,655,5
331,78417,16347153,516,371,3
332,19996,57559640,400,857,5
333,57161,83475159,723,210,1
334,98362,61151281,1000,56,1
335,10514,70451519,950,276,3
336,65761,76609259,759,621,3
337,68758,20280527,680,452,2
338,17881,17095080,969,101,1
339,78193,13985782,499,488,6
340,47178,89137066,496,717,3
341,67547,8837635,445,282,1
342,79965,25113715,32,513,6
343,36478,73494062,710,569,5
344,87320,82715921,419,632,5
345,84449,58390143,334,825,6
346,64988,47863159,116,422,3
347,63034,66901540,802,833,2
348,49159,17774282,652,403,3
349,60711,42105380,347,335,6
350,32436,34726374,358,457,2
351,24618,90587902,627,921,3
352,82928,16159579,93,100,6
353,43030,23166869,629,706,2
354,98092,46203327,373,211,3
355,56278,24246490,455,721,4
356,26658,78788178,798,584,6
357,99640,41952393,810,764,5
358,29749,36093495,181,789,1
359,27400,83923488,74,821,3
360,78277,37725963,460,477,4
361,49189,16930055,659,577,6
362,68013,22815217,295,593,1
363,61029,55127984,539,338,5
364,67940,19823404,897,100,4
365,12861,17700214,230,868,1
366,71980,18525773,925,784,3
367,11695,47238521,503,772,4
368,76253,67511696,776,714,3
369,88663,3367367,718,17,2
370,85397,87943181,388,331,3
371,40438,18893686,161,703,1
372,22334,59773063,637,554,1
373,83673,56049937,876,894,6
374,78428,14178143,617,524,4
375,19118,92262089,105,901,2
376,37105,3392289,226,208,2
377,71901,3968511,406,560,1
378,50758,64814223,716,758,6
379,34732,86867740,829,104,3
380,23361,89722073,721,609,3
381,21918,44342690,263,987,6
382,28740,23849834,495,910,6
383,64614,40708757,826,906,5
384,98069,87359315,890,62,2
385,70629,10104223,421,563,2
386,79971,96072032,566,764,5
387,51953,32292815,129,28,5
388,45484,47657631,306,326,1
389,50673,24382892,447,398,3
390,80280,54394472,837,469,1
391,38757,26807237,196,33,2
392,71570,4278915,847,989,5
393,26550,92195470,912,791,2
394,23971,75483303,290,189,3
395,83277,12899702,859,434,1
396,27389,58971910,18,941,4
397,29843,19380542,352,175,3
398,73320,84657120,454,967,6
399,70141,14146301,440,249,4
400,41124,33149222,391,986,4
401,49381,17675518,84,204,3
402,74221,85102022,940,705,4
403,51451,44307708,417,536,3
404,15447,75229131,83,699,6
405,66356,17173257,820,134,5
406,38725,92909907,549,434,4
407,93714,87875225,742,43,2
408,65219,60643970,328,481,4
409,31212,32675444,157,235,2
410,19160,16175292,526,352,4
411,67594,24115952,409,374,1
412,64051,69894926,5,980,3
413,93580,76535096,806,391,3
414,54200,19517449,385,459,2
415,95133,71867329,703,314,5
416,62640,40017418,848,85,1
417,77706,22327575,584,970,6
418,19605,76674042,624,919,2
419,75752,68592667,301,787,5
420,50472,9790034,782,238,5
421,89046,11330144,29,751,2
422,93876,48910453,533,795,6
423,80912,80062516,484,25,6
424,94568,76593801,746,320,6
425,31314,44664094,311,777,4
426,12350,68536993,13,411,1
427,25030,5908464,623,747,2
428,29089,63862827,436,666,6
429,16544,53809757,397,899,1
430,89331,29807102,531,519,6
431,68812,28173684,888,5,5
432,85672,16941974,734,519,6
433,77933,33498024,968,232,4
434,77185,51682978,151,709,5
435,10557,77914149,113,255,5
436,21934,18932613,784,975,5
437,36046,24472069,360,522,6
438,78777,77100921,817,577,4
