,ID,Amount,Principal overdue,Interest overdue,Loan_type
0,37382,38659941,337,979,4
1,94646,11200525,427,270,1
2,13187,46815934,450,19,1
3,55769,87524870,314,166,4
4,99256,18571019,396,915,6
5,52627,15751952,359,582,4
6,25557,17453582,179,152,1
7,14545,94220263,796,189,2
8,12285,3273353,842,635,6
9,26383,92409526,12,649,2
10,45588,45842998,630,35,4
11,22454,23951496,204,790,1
12,51809,21847312,433,560,2
13,19976,1525137,717,244,5
14,13598,64190921,959,70,6
15,74159,57835713,104,299,5
16,84187,32301233,491,95,1
17,18440,11375048,788,586,1
18,77243,97743223,903,998,6
19,74988,38801950,217,158,6
20,21098,47240242,347,603,6
21,95316,39811079,202,240,2
22,27705,83398346,218,736,6
23,96130,23047479,323,260,6
24,45378,75474034,517,545,6
25,60599,69674606,791,811,6
26,92764,88123309,35,917,2
27,49737,39983921,493,415,3
28,30361,52373087,294,92,2
29,76817,22379971,321,77,3
30,26980,12755089,552,595,3
31,59114,3462265,432,371,6
32,75301,56902224,940,430,1
33,53833,89118382,608,773,5
34,46454,85541508,55,503,6
35,13391,56641947,426,259,6
36,57212,55095052,352,401,5
37,70790,70495917,944,963,2
38,97985,46001881,880,958,1
39,24833,79763269,619,443,1
40,88741,95696343,328,999,5
41,90259,67697921,850,297,4
42,29635,75552142,930,528,6
43,34475,30872991,781,171,1
44,15125,93180051,953,354,4
45,55255,13454999,139,186,2
46,34740,55240984,931,85,4
47,29917,73040439,61,952,2
48,87916,19168322,925,800,6
49,88338,64268398,571,359,1
50,60474,66263129,796,92,3
51,75589,54569133,718,269,1
52,45191,80012792,143,574,3
53,32215,9967280,45,905,5
54,95414,64229224,375,602,2
55,48251,84770617,41,95,6
56,91415,46222749,235,790,1
57,76886,35678158,852,753,1
58,80349,15394751,225,37,4
59,14997,68802353,738,333,5
60,57415,47179385,768,214,2
61,46558,79801875,758,560,5
62,90555,27173104,154,736,6
63,73810,95878267,843,770,5
64,32700,2820506,414,690,2
65,99803,7024211,83,225,4
66,75906,61594363,456,942,4
67,19415,82902841,536,744,5
68,65846,92697035,343,840,4
69,96060,71028959,460,959,3
70,89207,86053074,378,932,3
71,34127,78704057,604,165,5
72,62014,73835382,554,356,3
73,36015,35966608,630,941,4
74,50798,71637398,541,611,5
75,34100,65614874,41,109,5
76,55123,33427352,155,423,3
77,39952,39857298,431,97,5
78,87877,60071160,778,28,1
79,61988,17117685,216,998,3
80,34347,6571131,960,596,4
81,20513,13507699,196,650,3
82,63027,24521333,563,703,1
83,71030,77977778,427,430,3
84,21162,6053795,969,572,6
85,70505,90366178,64,560,1
86,26909,81527436,683,422,4
87,13707,84355236,213,343,6
88,20426,36035905,381,6,3
89,54429,76504462,743,527,4
90,20053,8632701,784,317,2
91,83368,55985154,246,895,5
92,94487,7652906,443,275,3
93,15300,93329712,642,673,3
94,52869,95038080,648,678,6
95,18164,94151271,726,720,1
96,21160,94067189,444,441,5
97,92901,61743219,549,446,5
98,79822,79679433,519,375,6
99,87693,76540054,179,521,2
100,97207,40940006,613,288,6
101,62088,98751320,990,313,1
102,77264,35108757,69,169,5
103,87750,70780504,126,886,6
104,63734,78161435,876,515,1
105,89780,39638209,59,491,6
106,27672,5859328,230,436,3
107,22997,77478818,142,726,3
108,75232,98518618,587,415,5
109,55336,39525467,498,605,1
110,94408,11921735,58,673,2
111,56663,88169434,148,194,1
112,38797,48593884,827,498,1
113,56722,38509779,236,657,3
114,11276,83335828,591,124,3
115,75385,11329339,369,634,4
116,96636,93625863,27,307,2
117,79905,48796736,143,323,6
118,19906,93660409,606,550,4
119,13584,14016742,210,313,1
120,56251,80760471,515,75,1
121,39754,75243150,766,316,3
122,17473,4880235,168,718,3
123,47904,41935174,9,810,2
124,17297,90894400,176,922,4
125,98126,13656161,147,863,6
126,96790,15427161,67,187,1
127,74775,71184837,10,466,2
128,83433,65648783,605,404,1
129,57071,94975141,704,18,5
130,39051,99025084,236,947,3
131,66025,9311520,1,27,4
132,41969,22967805,50,284,4
133,16733,96239212,368,650,3
134,36038,78303932,4,193,5
135,81075,63379509,780,196,6
136,59290,32606257,369,730,1
137,39925,66428512,717,153,2
138,84792,34421431,650,895,6
139,21589,69463600,845,207,3
140,52706,24214804,609,645,3
141,42574,89606054,195,794,3
142,50242,57567401,41,877,4
143,32550,29219811,50,306,1
144,55593,23206928,562,203,4
145,28407,61316636,577,215,5
146,79431,70543366,224,656,6
147,84090,79126776,620,617,1
148,63918,12970701,787,527,6
149,57849,7367471,905,90,6
150,20551,30175054,859,400,6
151,11942,90875961,569,529,3
152,14092,21097869,883,184,6
153,48134,18021283,421,983,2
154,20836,19009491,769,853,4
155,77200,91484326,76,766,5
156,89836,76578009,653,752,6
157,56776,70893428,387,27,3
158,94202,80090371,434,222,3
159,53246,88499367,622,513,5
160,48481,88847511,5,626,5
161,96856,89074771,67,617,2
162,86120,66165299,492,825,5
163,98530,36433645,197,604,4
164,26289,40319474,781,133,6
165,74654,27570477,722,641,1
166,10961,76764443,147,161,1
167,95812,67315867,869,453,2
168,36743,27672167,736,501,3
169,48597,94893896,333,902,5
170,10138,10908268,582,242,1
171,79243,75010366,575,221,1
172,32663,19659725,892,646,4
173,56831,96331905,900,276,6
174,18616,73609886,971,15,2
175,80570,8343725,900,160,6
176,32739,30049310,984,941,2
177,57984,12058895,143,545,2
178,43100,46300891,564,1,1
179,90811,90485255,933,739,3
180,26404,89771518,588,359,3
181,80553,36375390,830,67,6
182,73921,33622880,86,85,3
183,11342,66908719,28,34,2
184,74973,85818846,294,474,2
185,62964,43092792,790,668,2
186,46759,86447466,957,154,5
187,64709,83711305,709,774,3
188,28758,87573198,366,27,4
189,14375,1439990,993,916,3
190,53369,10175539,424,453,6
191,28782,83925680,669,642,6
192,89834,59200560,125,892,6
193,20292,13637243,349,248,3
194,88796,85802853,17,702,3
195,15926,73008960,918,969,6
196,76637,1481800,204,815,3
197,27573,34703149,781,492,3
198,82144,7421726,514,194,4
199,39255,7221995,437,974,3
200,27297,22894324,938,292,5
201,49778,1425268,180,262,5
202,49574,30164349,360,316,5
203,77505,47955094,603,806,1
204,21671,39740001,189,497,4
205,24273,78968330,521,18,2
206,32482,96620925,231,157,5
207,51345,95437427,735,534,2
208,54890,25355949,14,396,6
209,37128,9939484,992,668,1
210,17222,44706104,296,1000,3
211,24593,40663186,439,709,2
212,78476,95408987,132,920,6
213,22961,74964974,763,331,6
214,15296,3814083,42,543,5
215,97390,38013437,425,949,5
216,71433,98570010,181,265,4
217,11550,94170682,782,370,1
218,47916,75022781,84,374,2
219,24018,64129832,40,741,3
220,83113,78735565,750,552,1
221,54876,77262516,731,882,6
222,80413,3122479,112,654,1
223,62987,9094468,195,597,2
224,66049,52274473,888,199,1
225,47451,12772569,440,388,4
226,65870,22925993,334,665,3
227,16404,64298230,945,364,6
228,96706,80944935,238,20,6
229,67383,58992862,105,839,6
230,86169,23634069,654,588,1
231,61501,4577226,243,851,5
232,14758,22779907,804,535,3
233,97487,34563683,359,740,1
234,90247,20969253,214,339,5
235,10279,51742764,685,184,2
236,84093,41742164,44,973,6
237,42555,9083389,230,163,3
238,59911,54165409,352,500,3
239,15957,2505148,404,218,6
240,32234,26090692,778,748,1
241,17626,70277380,376,723,5
242,29449,5721240,312,591,1
243,40084,5914131,185,332,2
244,48322,21057651,319,788,3
245,12554,72776022,201,443,6
246,19541,4309367,183,638,5
